Index Name,Effective Date,Company,Ticker,Price,Currency,Index Weight,Sector (wt),Country,Symbol,Sector
S&P Saudi Arabia Shariah (TR),29-Mar-19,Al Rajhi Banking & Investment Corp.,1120,106.6,Saudi riyal,25.71%,Financials (40),Saudi Arabia,1120.SR,Financials 
S&P Saudi Arabia Shariah (TR),29-Mar-19,SAUDI BASIC INDUSTRIES CORP,2010,123.8,Saudi riyal,15.38%,Materials (15),Saudi Arabia,2010.SR,Materials 
S&P Saudi Arabia Shariah (TR),29-Mar-19,Saudi Telecom,7010,107.2,Saudi riyal,5.92%,Communication Services (50),Saudi Arabia,7010.SR,Communication Services 
S&P Saudi Arabia Shariah (TR),29-Mar-19,Alinma Bank,1150,24.22,Saudi riyal,5.27%,Financials (40),Saudi Arabia,1150.SR,Financials 
S&P Saudi Arabia Shariah (TR),29-Mar-19,Saudi Arabian Mining Company,1211,54.8,Saudi riyal,3.87%,Materials (15),Saudi Arabia,1211.SR,Materials 
S&P Saudi Arabia Shariah (TR),29-Mar-19,Yanbu National Petrochemicals Company,2290,74.8,Saudi riyal,2.69%,Materials (15),Saudi Arabia,2290.SR,Materials 
S&P Saudi Arabia Shariah (TR),29-Mar-19,Almarai Co. Ltd.,2280,55.1,Saudi riyal,2.38%,Consumer Staples (30),Saudi Arabia,2280.SR,Consumer Staples 
S&P Saudi Arabia Shariah (TR),29-Mar-19,Saudi Arabian Fertilizer Company,2020,82.3,Saudi riyal,2.37%,Materials (15),Saudi Arabia,2020.SR,Materials 
S&P Saudi Arabia Shariah (TR),29-Mar-19,Al-Jazira Bank,1020,16.7,Saudi riyal,2.03%,Financials (40),Saudi Arabia,1020.SR,Financials 
S&P Saudi Arabia Shariah (TR),29-Mar-19,Jarir Marketing Company,4190,158,Saudi riyal,1.96%,Consumer Discretionary (25),Saudi Arabia,4190.SR,Consumer Discretionary 
S&P Saudi Arabia Shariah (TR),29-Mar-19,Dar Al Arkan Real Estate Development,4300,10.76,Saudi riyal,1.95%,Real Estate (60),Saudi Arabia,4300.SR,Real Estate 
S&P Saudi Arabia Shariah (TR),29-Mar-19,Etihad Etisalat Co.,7020,21.78,Saudi riyal,1.74%,Communication Services (50),Saudi Arabia,7020.SR,Communication Services 
S&P Saudi Arabia Shariah (TR),29-Mar-19,Advanced Petrochemicals Company,2330,55.7,Saudi riyal,1.68%,Materials (15),Saudi Arabia,2330.SR,Materials 
S&P Saudi Arabia Shariah (TR),29-Mar-19,SAVOLA Group,2050,31.4,Saudi riyal,1.62%,Consumer Staples (30),Saudi Arabia,2050.SR,Consumer Staples 
S&P Saudi Arabia Shariah (TR),29-Mar-19,National Industrialization Company,2060,18.06,Saudi riyal,1.44%,Materials (15),Saudi Arabia,2060.SR,Materials 
S&P Saudi Arabia Shariah (TR),29-Mar-19,Bank Al Bilad,1140,29.5,Saudi riyal,1.44%,Financials (40),Saudi Arabia,1140.SR,Financials 
S&P Saudi Arabia Shariah (TR),29-Mar-19,Saudi Cement Company,3030,59,Saudi riyal,1.26%,Materials (15),Saudi Arabia,3030.SR,Materials 
